,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
139,46,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
140,46,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
141,47,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
142,47,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
143,47,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
144,48,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
145,48,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
146,48,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
147,49,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
148,49,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
149,49,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
150,50,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
151,50,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
152,50,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
153,51,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
154,51,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
155,51,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
156,52,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
157,52,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
158,52,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
159,53,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
160,53,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
161,53,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
162,54,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
163,54,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
164,54,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
165,55,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
166,55,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
167,55,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
168,56,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
169,56,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
170,56,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
171,57,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
172,57,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
173,57,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
174,58,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
175,58,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
176,58,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
177,59,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
178,59,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
179,59,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
180,60,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
181,60,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
182,60,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
183,61,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
184,61,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
185,61,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
186,62,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
187,62,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
188,62,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
189,63,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
190,63,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
191,63,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
192,64,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
193,64,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
194,64,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
195,65,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
196,65,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
197,65,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
198,66,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
199,66,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
200,66,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
201,67,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
202,67,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
203,67,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
204,68,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
205,68,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
206,68,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
207,69,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
208,69,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
209,69,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
210,70,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
211,70,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
